year,docs,feature/change,other,TODO list,cleanup/refactor,fix,typo/comment,win32/port,release notes,pg_upgrade,(misc)
1996,12,23,63,1,29,35,16,4,0,0,14
1997,23,102,105,9,131,122,12,8,0,0,46
1998,32,126,178,6,168,200,8,14,0,4,136
1999,68,123,132,93,121,95,33,16,4,6,125
2000,116,113,120,167,86,65,27,14,0,2,123
2001,190,220,193,366,102,87,48,29,0,0,156
2002,247,259,240,188,114,124,53,30,2,13,154
2003,162,161,160,139,90,44,40,76,9,0,118
2004,166,156,152,160,118,59,50,195,11,0,89
2005,250,183,130,189,94,66,54,45,18,0,91
2006,165,224,89,154,96,45,41,60,25,1,82
2007,228,136,60,130,62,22,39,20,22,0,45
2008,78,98,25,180,14,10,23,10,2,0,19
2009,76,28,35,1,14,6,9,3,12,2,19
2010,119,16,30,2,22,5,17,14,20,56,41
2011,115,24,19,0,36,16,26,4,8,105,23
2012,52,20,18,0,12,5,14,6,7,57,31
2013,39,6,21,0,7,5,14,1,29,36,8
2014,62,9,31,0,7,11,18,6,20,37,17
2015,26,2,24,0,4,0,7,1,29,19,17
2016,20,0,1,0,0,0,7,1,5,2,1
2017,31,1,2,0,0,0,2,0,10,9,6
2018,51,0,7,0,0,0,11,2,11,11,2
2019,34,0,1,0,4,0,3,1,28,6,2
2020,59,5,9,0,5,2,5,3,27,8,9
2021,14,5,3,0,3,3,4,0,25,4,4
2022,40,0,0,0,0,0,2,1,27,1,3
2023,64,1,2,0,3,1,11,0,32,4,3
2024,22,0,3,0,0,1,7,1,50,0,5
2025,26,0,3,0,1,1,1,0,46,1,1
2026,2,0,0,0,0,0,0,0,13,0,1
