workload,clients,rep,tps,latency_ms
verify,lock,lock_object_samples,0
control,1,1,770.807990,1.297
notify_altb2,1,1,724.785642,1.380
control,1,2,828.115771,1.208
notify_altb2,1,2,772.310827,1.295
control,1,3,800.326532,1.249
notify_altb2,1,3,748.212756,1.337
control,4,1,2063.004968,1.939
notify_altb2,4,1,2128.648626,1.879
control,4,2,2231.139669,1.793
notify_altb2,4,2,2244.195694,1.782
control,4,3,2033.189933,1.967
notify_altb2,4,3,2109.360701,1.896
control,16,1,8037.406137,1.991
notify_altb2,16,1,8154.699157,1.962
control,16,2,7665.778271,2.087
notify_altb2,16,2,8176.278119,1.957
control,16,3,8222.530947,1.946
notify_altb2,16,3,7961.325018,2.010
control,64,1,18792.329397,3.406
notify_altb2,64,1,16694.831546,3.834
control,64,2,17942.866082,3.567
notify_altb2,64,2,16402.186650,3.902
control,64,3,17720.444916,3.612
notify_altb2,64,3,16507.286991,3.877
