workload,clients,rep,tps,latency_ms
verify,lock,lock_object_samples,0
control,1,1,784.805007,1.274
notify_altb,1,1,780.816888,1.281
control,1,2,727.123393,1.375
notify_altb,1,2,700.566904,1.427
control,1,3,757.047624,1.321
notify_altb,1,3,780.356149,1.281
control,4,1,2189.230526,1.827
notify_altb,4,1,2150.067275,1.860
control,4,2,2188.374842,1.828
notify_altb,4,2,2129.757176,1.878
control,4,3,2033.926108,1.967
notify_altb,4,3,2022.356793,1.978
control,16,1,7565.333147,2.115
notify_altb,16,1,7753.741490,2.064
control,16,2,6171.097835,2.593
notify_altb,16,2,7816.310501,2.047
control,16,3,7970.449902,2.007
notify_altb,16,3,7766.940551,2.060
control,64,1,15257.634866,4.195
notify_altb,64,1,11445.308027,5.592
control,64,2,15047.548192,4.253
notify_altb,64,2,10688.442603,5.988
control,64,3,15657.592086,4.087
notify_altb,64,3,10964.564136,5.837
