workload,clients,rep,tps,latency_ms
verify,lock,lock_object_samples,72
control,1,1,793.747637,1.260
notify_lock,1,1,617.689105,1.619
control,1,2,823.616542,1.214
notify_lock,1,2,789.701872,1.266
control,1,3,835.146151,1.197
notify_lock,1,3,843.828178,1.185
control,4,1,2075.229962,1.927
notify_lock,4,1,1032.757037,3.873
control,4,2,1945.620218,2.056
notify_lock,4,2,934.017819,4.283
control,4,3,2059.100874,1.943
notify_lock,4,3,1050.942403,3.806
control,16,1,8006.320200,1.998
notify_lock,16,1,1027.453880,15.572
control,16,2,7430.209383,2.153
notify_lock,16,2,910.817275,17.567
control,16,3,7811.229830,2.048
notify_lock,16,3,1073.621073,14.903
control,64,1,16306.741669,3.925
notify_lock,64,1,979.219803,65.358
control,64,2,16044.000089,3.989
notify_lock,64,2,1134.623215,56.406
control,64,3,16468.864107,3.886
notify_lock,64,3,1054.764243,60.677
verify,nolock,lock_object_samples,0
notify_nolock,1,1,733.369743,1.364
notify_nolock,1,2,778.117574,1.285
notify_nolock,1,3,695.217283,1.438
notify_nolock,4,1,2300.381597,1.739
notify_nolock,4,2,2115.097629,1.891
notify_nolock,4,3,2176.567336,1.838
notify_nolock,16,1,7892.530900,2.027
notify_nolock,16,2,8289.748970,1.930
notify_nolock,16,3,7605.807062,2.104
notify_nolock,64,1,12368.686711,5.174
notify_nolock,64,2,11076.615228,5.778
notify_nolock,64,3,12972.550910,4.933
