label,workload,sync_commit,listeners,clients,tps
master,control,on,0,1,842.067097
master,notify,on,0,1,731.288758
master,control,on,0,2,1106.784023
master,notify,on,0,2,1020.163226
master,control,on,0,4,2224.208631
master,notify,on,0,4,1147.291070
master,control,on,0,8,3933.750804
master,notify,on,0,8,1041.803620
master,control,on,0,16,8239.746124
master,notify,on,0,16,1034.046709
master,control,on,0,32,11908.811583
master,notify,on,0,32,931.657407
master,control,on,0,64,16396.707752
master,notify,on,0,64,950.531704
master,control,off,0,1,5542.203443
master,notify,off,0,1,4319.135678
master,control,off,0,2,12313.310414
master,notify,off,0,2,9253.081777
master,control,off,0,4,43066.010812
master,notify,off,0,4,19932.094058
master,control,off,0,8,36010.788431
master,notify,off,0,8,38149.919649
master,control,off,0,16,41475.449337
master,notify,off,0,16,22137.605751
master,control,off,0,32,39624.212166
master,notify,off,0,32,14169.157032
master,control,off,0,64,35494.949721
master,notify,off,0,64,12259.627559
master,notify_uninterested,off,0,8,23908.553292
master,notify_uninterested,off,50,8,19035.989019
