label,workload,sync_commit,listeners,clients,tps
pg18,control,on,0,1,764.132481
pg18,notify,on,0,1,615.101107
pg18,control,on,0,2,996.720685
pg18,notify,on,0,2,998.192526
pg18,control,on,0,4,1999.333389
pg18,notify,on,0,4,1035.925071
pg18,control,on,0,8,4199.390351
pg18,notify,on,0,8,1021.020323
pg18,control,on,0,16,7926.101922
pg18,notify,on,0,16,989.232522
pg18,control,on,0,32,11982.054706
pg18,notify,on,0,32,900.939021
pg18,control,on,0,64,16937.448497
pg18,notify,on,0,64,906.057529
pg18,control,off,0,1,5537.431426
pg18,notify,off,0,1,4402.078509
pg18,control,off,0,2,12185.103436
pg18,notify,off,0,2,8848.930137
pg18,control,off,0,4,32816.302574
pg18,notify,off,0,4,30162.108965
pg18,control,off,0,8,45237.475428
pg18,notify,off,0,8,30133.721985
pg18,control,off,0,16,41116.911323
pg18,notify,off,0,16,22328.862784
pg18,control,off,0,32,44543.541500
pg18,notify,off,0,32,14663.683928
pg18,control,off,0,64,34886.894299
pg18,notify,off,0,64,12815.283571
